Código Centro Poblado,Código Municipio,Nombre Municipio,Nombre Centro Poblado,Longitud,Latitud,Código Departamento,Tipo Centro Poblado,Nombre Departamento,Tipo de Municipio
11001000,11001,"BOGOTÁ, D.C.",Usaquén,-74.0306,4.6918,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Chapinero,-74.0632,4.6431,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Santa Fe,-74.066,4.6028,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",San Cristóbal,-74.0778,4.5654,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Usme,-74.1181,4.4886,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Tunjuelito,-74.1399,4.5613,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Bosa,-74.2008,4.6148,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Kennedy,-74.1505,4.6215,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Fontibón,-74.1438,4.6783,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Engativá,-74.111,4.7024,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Suba,-74.1088,4.7497,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Barrios Unidos,-74.0735,4.6695,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Teusaquillo,-74.0932,4.6445,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Los Mártires,-74.0874,4.6097,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Antonio Nariño,-74.0992,4.5918,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Puente Aranda,-74.1142,4.6202,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",La Candelaria,-74.0722,4.5968,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Rafael Uribe Uribe,-74.1212,4.5704,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Ciudad Bolívar,-74.1829,4.5391,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
11001000,11001,"BOGOTÁ, D.C.",Sumapaz,-74.3421,4.0569,11,LOCALIDAD BOGOTA,"BOGOTÁ, D. C.",LOCALIDAD
